Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Tax Year
605150,"3603FD 5 28    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,149700,0,244500,309 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605160,"3603FD 5 29,W30    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,106200,164400,0,270600,307 WINDSOR AVE. N.W.,Land    R - Residential,,2018
605170,"3603FD 5 E30,31    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,106200,154700,0,260900,305 WINDSOR AVE. NW,Land    R - Residential,,2018
605180,"3603FD 5 32,33    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,120700,394800,0,515500,301 WINDSOR AVE. N.W.,Land    R - Residential,,2018
606010,"3138FM 6 E1    SE-12-20-3-5    4,500 Sq. Feet",T,2,Residential,I  Individual,84300,118800,0,203100,401A WINDSOR AVE. N.W.,Land    R - Residential,,2018
606020,"3138FM 6 W1    SE-12-20-3-5    4,500 Sq. Feet",T,2,Residential,I  Individual,84300,108000,0,192300,401B WINDSOR AVE. N.W.,Land    R - Residential,,2018
606030,"3138FM 6 2    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,106200,122300,0,228500,403 WINDSOR AVE. N.W.,Land    R - Residential,,2018
606040,"3138FM 6 3    SE-12-20-3-5    10,560 Sq. Feet",E,11,Institutional,I  Individual,110800,408600,0,519400,405 WINDSOR AVE. N.W.,Land    NR - Non Residential,,2018
606050,"3138FM 6 4,5    SE-12-20-3-5    12,000 Sq. Feet",T,2,Residential,I  Individual,112800,212300,0,325100,407 WINDSOR AVE. N.W.,Land    R - Residential,,2018
606060,"3138FM 6 6    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,210400,0,305200,411 WINDSOR AVE. N.W.,Land    R - Residential,,2018
606070,"3138FM 6 7    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,166700,0,261500,413 WINDSOR AVE. N.W.,Land    R - Residential,,2018
606080,"3138FM 6 8    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,158000,0,252800,415 WINSOR AVE. N.W.,Land    R - Residential,,2018
606090,"3138FM 6 9    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,94800,166800,0,261600,417 WINDSOR AVE. N.W.,Land    R - Residential,,2018
606510,"7423DQ 6 1,2    SE-12-20-3-5    5,160 Sq. Feet",T,2,Residential,I  Individual,84700,43400,0,128100,402 SUNSET BLVD. N.W.,Land    R - Residential,,2018
606520,"7423DQ 6 W2,3    SE-12-20-3-5    6,720 Sq. Feet",T,2,Residential,I  Individual,97500,169200,0,266700,404 SUNSET BOULEVARD N.W.,Land    R - Residential,,2018
606525,"7423DQ 6 4-6    SE-12-20-3-5    11,880 Sq. Feet",T,2,Residential,I  Individual,112600,185200,0,297800,406 SUNSET BLVD. N.W.,Land    R - Residential,,2018
606540,"7423DQ 6 7,8    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,102100,152700,0,254800,410 SUNSET BLVD. N.W.,Land    R - Residential,,2018
