Roll Number,Legal Address,Tax/Exempt,Prop Type Code,Prop Type,Payer Type,Land Value,Impr. Value,Other Value,Total Value,Street Address,Prop Subtype,Description,Town,Tax Year
604110,"8054EK 4 15,16    SE-12-20-3-5    5,970 Sq. Feet",T,2,Residential,I  Individual,82300,143700,0,226000,206 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604120,"8054EK 4 17    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,82700,110200,0,192900,208 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604130,"8054EK 4 PT18    SE-12-20-3-5    10,812 Sq. Feet",T,2,Residential,I  Individual,96900,55800,0,152700,106 HUBERT ST. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604140,"3603FD 4 19    SE-12-20-3-5    8,270 Sq. Feet",T,2,Residential,I  Individual,112800,517400,0,630200,201 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604150,"9212439 4 18A    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,82700,35100,0,117800,203 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604160,"3603FD 4 20,P21    SE-12-20-3-5    6,600 Sq. Feet",T,2,Residential,I  Individual,84700,77000,0,161700,207 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604170,"3603FD 4 P21,22    SE-12-20-3-5    11,280 Sq. Feet",T,2,Residential,I  Individual,97500,134700,0,232200,211 WINDSOR AVE. NW,R    LAND & IMPROVEMENTS,,TV,2021
604180,"1178LK 4 23A    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,92600,230600,0,323200,213 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604190,"1178LK 4 24A    SE-12-20-3-5    9,000 Sq. Feet",T,2,Residential,I  Individual,92600,170900,0,263500,215 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604200,"3603FD 4 26    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,82700,66700,0,149400,217 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604210,"3603FD 4 27    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,82700,154000,0,236700,219 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
604220,"3603FD 4 28    SE-12-20-3-5    6,000 Sq. Feet",T,2,Residential,I  Individual,82700,193400,0,276100,221 WINDSOR AVE. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605010,"7423DQ 5 1,E2    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,90400,94400,0,184800,302 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605020,"7423DQ 5 2-4    SE-12-20-3-5    9,900 Sq. Feet",T,2,Residential,I  Individual,105300,112300,0,217600,304 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605030,"7423DQ 5 5,6    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,98100,183800,0,281900,306 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605040,"7423DQ 5 7,EB    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,90400,79100,0,169500,308 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605050,"7423DQ 5 W8,9    SE-12-20-3-5    5,940 Sq. Feet",T,2,Residential,I  Individual,90400,112700,0,203100,310 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605060,"7423DQ 5 10,11    SE-12-20-3-5    7,920 Sq. Feet",T,2,Residential,I  Individual,98100,104100,0,202200,312 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
605070,"9311679 5 34    SE-12-20-3-5    5,930 Sq. Feet",T,2,Residential,I  Individual,90200,83300,0,173500,314 SUNSET BLVD. N.W.,R    LAND & IMPROVEMENTS,,TV,2021
